Scientific Colour Map Categorical Palette
batlowW 100 scrambled Swatches
255 254 254	batlowW-1 #FFFEFE
  1  25  89	batlowW-256 #011959
126 135  55	batlowW-128 #7E8737
 32  95  97	batlowW-192 #205F61
232 172 134	batlowW-64 #E8AC86
 17  67  96	batlowW-224 #114360
 73 116  81	batlowW-160 #497451
191 157  70	batlowW-96 #BF9D46
254 209 205	batlowW-33 #FED1CD
255 234 234	batlowW-17 #FFEAEA
 99 126  68	batlowW-144 #637E44
158 146  51	batlowW-112 #9E9233
 22  81  98	batlowW-208 #165162
 13  49  93	batlowW-240 #0D315D
216 165 102	batlowW-80 #D8A566
 50 107  92	batlowW-176 #326B5C
245 183 166	batlowW-49 #F5B7A6
 61 112  86	batlowW-168 #3D7056
 86 121  74	batlowW-152 #56794A
205 162  86	batlowW-88 #CDA256
142 141  51	batlowW-120 #8E8D33
 26  88  98	batlowW-200 #1A5862
 15  59  95	batlowW-232 #0F3B5F
 40 101  95	batlowW-184 #28655F
255 245 245	batlowW-9 #FFF5F5
112 130  61	batlowW-136 #70823D
225 169 118	batlowW-72 #E1A976
175 152  57	batlowW-104 #AF9839
255 223 221	batlowW-25 #FFDFDD
250 195 186	batlowW-41 #FAC3BA
 19  74  97	batlowW-216 #134A61
  8  37  91	batlowW-248 #08255B
238 176 148	batlowW-57 #EEB094
167 149  53	batlowW-108 #A79535
183 155  63	batlowW-100 #B79B3F
105 128  64	batlowW-140 #698040
 45 104  94	batlowW-180 #2D685E
 11  43  92	batlowW-244 #0B2B5C
 36  98  97	batlowW-188 #246261
198 160  78	batlowW-92 #C6A04E
 20  78  98	batlowW-212 #144E62
254 216 214	batlowW-29 #FED8D6
255 240 240	batlowW-13 #FFF0F0
255 229 228	batlowW-21 #FFE5E4
242 179 156	batlowW-53 #F2B39C
150 143  50	batlowW-116 #968F32
211 164  94	batlowW-84 #D3A45E
255 250 249	batlowW-5 #FFFAF9
 67 114  84	batlowW-164 #437254
248 189 175	batlowW-45 #F8BDAF
220 167 111	batlowW-76 #DCA76F
 24  85  98	batlowW-204 #185562
 14  54  94	batlowW-236 #0E365E
  5  31  90	batlowW-252 #051F5A
 79 119  77	batlowW-156 #4F774D
 16  63  96	batlowW-228 #103F60
 92 123  71	batlowW-148 #5C7B47
119 133  58	batlowW-132 #77853A
229 170 126	batlowW-68 #E5AA7E
 56 109  89	batlowW-172 #386D59
134 138  53	batlowW-124 #868A35
 18  71  97	batlowW-220 #124761
252 202 196	batlowW-37 #FCCAC4
 29  92  98	batlowW-196 #1D5C62
236 174 141	batlowW-60 #ECAE8D
 21  80  98	batlowW-210 #155062
 16  65  96	batlowW-226 #104160
 13  51  94	batlowW-238 #0D335E
247 186 170	batlowW-47 #F7BAAA
227 169 122	batlowW-70 #E3A97A
 16  61  95	batlowW-230 #103D5F
 95 124  69	batlowW-146 #5F7C45
130 137  54	batlowW-126 #828936
 83 120  76	batlowW-154 #53784C
 25  87  98	batlowW-202 #195762
123 134  57	batlowW-130 #7B8639
249 192 181	batlowW-43 #F9C0B5
162 148  51	batlowW-110 #A29433
179 153  59	batlowW-102 #B3993B
  7  34  91	batlowW-250 #07225B
 76 117  79	batlowW-158 #4C754F
 53 108  90	batlowW-174 #356C5A
 43 103  94	batlowW-182 #2B675E
218 166 107	batlowW-78 #DAA66B
146 142  50	batlowW-118 #928E32
116 132  60	batlowW-134 #74843C
255 219 218	batlowW-27 #FFDBDA
102 127  66	batlowW-142 #667F42
 48 105  93	batlowW-178 #30695D
202 161  82	batlowW-90 #CAA152
 20  76  98	batlowW-214 #144C62
 34  97  97	batlowW-190 #226161
230 171 130	batlowW-66 #E6AB82
195 159  74	batlowW-94 #C39F4A
213 165  98	batlowW-82 #D5A562
 28  90  98	batlowW-198 #1C5A62
 38 100  96	batlowW-186 #266460
208 163  90	batlowW-86 #D0A35A
 64 113  85	batlowW-166 #407155
 10  40  92	batlowW-246 #0A285C
