Scientific Colour Map Categorical Palette
bilbao 100 scrambled Swatches
248 248 248	bilbao-1 #F8F8F8
 77   0   1	bilbao-251 #4D0001
169 133 101	bilbao-126 #A98565
192 186 162	bilbao-63 #C0BAA2
146  73  70	bilbao-189 #924946
161 105  89	bilbao-157 #A16959
211 210 205	bilbao-32 #D3D2CD
180 163 122	bilbao-94 #B4A37A
114  38  37	bilbao-220 #722625
156  90  81	bilbao-173 #9C5A51
174 147 108	bilbao-110 #AE936C
187 177 143	bilbao-78 #BBB18F
199 196 182	bilbao-48 #C7C4B6
131  56  55	bilbao-204 #833837
 95  19  21	bilbao-236 #5F1315
165 119  94	bilbao-142 #A5775E
229 229 228	bilbao-16 #E5E5E4
171 140 104	bilbao-118 #AB8C68
104  29  29	bilbao-228 #681D1D
220 219 217	bilbao-24 #DCDBD9
167 126  98	bilbao-134 #A77E62
151  82  76	bilbao-181 #97524C
205 202 194	bilbao-40 #CDCAC2
177 155 114	bilbao-102 #B19B72
183 171 132	bilbao-86 #B7AB84
123  47  46	bilbao-212 #7B2F2E
159  98  85	bilbao-165 #9F6255
163 112  92	bilbao-149 #A3705C
196 191 173	bilbao-55 #C4BFAD
238 238 238	bilbao-9 #EEEEEE
189 181 152	bilbao-71 #BDB598
139  65  63	bilbao-196 #8B413F
 85   9  12	bilbao-244 #55090C
154  86  79	bilbao-177 #9A564F
202 199 188	bilbao-44 #CAC7BC
178 159 118	bilbao-98 #B29F76
194 188 167	bilbao-59 #C2BCA7
243 243 243	bilbao-5 #F3F3F3
175 151 111	bilbao-106 #AF976F
149  78  73	bilbao-185 #954E49
160 102  87	bilbao-161 #A06657
166 122  96	bilbao-138 #A67A60
170 136 102	bilbao-122 #AA8866
185 174 137	bilbao-82 #B9AE89
162 109  90	bilbao-153 #A26D5A
118  42  42	bilbao-216 #762A2A
127  51  50	bilbao-208 #7F3332
168 129  99	bilbao-130 #A88163
109  33  33	bilbao-224 #6D2121
157  94  83	bilbao-169 #9D5E53
215 215 211	bilbao-28 #D7D7D3
172 144 106	bilbao-114 #AC906A
191 184 157	bilbao-67 #BFB89D
225 224 223	bilbao-20 #E1E0DF
208 206 199	bilbao-36 #D0CEC7
181 167 127	bilbao-90 #B5A77F
100  24  25	bilbao-232 #641819
136  60  59	bilbao-200 #883C3B
 90  14  17	bilbao-240 #5A0E11
164 116  93	bilbao-145 #A4745D
198 194 178	bilbao-51 #C6C2B2
 80   4   6	bilbao-248 #500406
142  69  66	bilbao-193 #8E4542
233 233 232	bilbao-13 #E9E9E8
188 179 146	bilbao-75 #BCB392
 87  12  15	bilbao-242 #570C0F
227 227 225	bilbao-18 #E3E3E1
172 142 105	bilbao-116 #AC8E69
163 111  91	bilbao-151 #A36F5B
155  88  80	bilbao-175 #9B5850
150  80  75	bilbao-183 #96504B
161 104  88	bilbao-159 #A16858
147  75  71	bilbao-187 #934B47
182 169 129	bilbao-88 #B6A981
167 124  97	bilbao-136 #A77C61
213 212 208	bilbao-30 #D5D4D0
236 236 235	bilbao-11 #ECECEB
 83   6   9	bilbao-246 #530609
190 183 154	bilbao-69 #BEB79A
164 114  93	bilbao-147 #A4725D
 97  22  23	bilbao-234 #611617
201 197 185	bilbao-46 #C9C5B9
197 192 175	bilbao-53 #C5C0AF
181 165 124	bilbao-92 #B5A57C
107  31  31	bilbao-226 #6B1F1F
177 157 116	bilbao-100 #B19D74
189 180 149	bilbao-73 #BDB495
206 204 196	bilbao-38 #CECCC4
174 149 109	bilbao-108 #AE956D
176 153 112	bilbao-104 #B09970
210 208 202	bilbao-34 #D2D0CA
170 134 101	bilbao-124 #AA8665
222 222 220	bilbao-22 #DEDEDC
157  92  82	bilbao-171 #9D5C52
246 246 246	bilbao-3 #F6F6F6
158  96  84	bilbao-167 #9E6054
125  49  48	bilbao-210 #7D3130
186 175 140	bilbao-80 #BAAF8C
168 127  98	bilbao-132 #A87F62
159 100  86	bilbao-163 #9F6456
