Scientific Colour Map Categorical Palette
grayC 100 scrambled Swatches
249 249 249	grayC-1 #F9F9F9
  6   6   6	grayC-247 #060606
118 118 118	grayC-124 #767676
182 182 182	grayC-62 #B6B6B6
 60  60  60	grayC-186 #3C3C3C
 89  89  89	grayC-155 #595959
150 150 150	grayC-93 #969696
216 216 216	grayC-31 #D8D8D8
 35  35  35	grayC-216 #232323
165 165 165	grayC-78 #A5A5A5
134 134 134	grayC-108 #868686
199 199 199	grayC-46 #C7C7C7
 75  75  75	grayC-170 #4B4B4B
 23  23  23	grayC-231 #171717
232 232 232	grayC-16 #E8E8E8
103 103 103	grayC-140 #676767
 47  47  47	grayC-201 #2F2F2F
174 174 174	grayC-70 #AEAEAE
191 191 191	grayC-54 #BFBFBF
 67  67  67	grayC-178 #434343
111 111 111	grayC-132 #6F6F6F
 16  16  16	grayC-239 #101010
126 126 126	grayC-116 #7E7E7E
 29  29  29	grayC-224 #1D1D1D
 81  81  81	grayC-163 #515151
141 141 141	grayC-101 #8D8D8D
 41  41  41	grayC-209 #292929
241 241 241	grayC-8 #F1F1F1
208 208 208	grayC-38 #D0D0D0
 53  53  53	grayC-194 #353535
 96  96  96	grayC-147 #606060
224 224 224	grayC-24 #E0E0E0
158 158 158	grayC-85 #9E9E9E
186 186 186	grayC-58 #BABABA
130 130 130	grayC-112 #828282
237 237 237	grayC-12 #EDEDED
114 114 114	grayC-128 #727272
146 146 146	grayC-97 #929292
 11  11  11	grayC-243 #0B0B0B
 92  92  92	grayC-151 #5C5C5C
 44  44  44	grayC-205 #2C2C2C
154 154 154	grayC-89 #9A9A9A
107 107 107	grayC-136 #6B6B6B
 57  57  57	grayC-190 #393939
 20  20  20	grayC-235 #141414
122 122 122	grayC-120 #7A7A7A
 32  32  32	grayC-220 #202020
 85  85  85	grayC-159 #555555
178 178 178	grayC-66 #B2B2B2
 64  64  64	grayC-182 #404040
 71  71  71	grayC-174 #474747
169 169 169	grayC-74 #A9A9A9
204 204 204	grayC-42 #CCCCCC
195 195 195	grayC-50 #C3C3C3
228 228 228	grayC-20 #E4E4E4
219 219 219	grayC-28 #DBDBDB
100 100 100	grayC-143 #646464
 78  78  78	grayC-166 #4E4E4E
246 246 246	grayC-4 #F6F6F6
 50  50  50	grayC-198 #323232
 26  26  26	grayC-227 #1A1A1A
213 213 213	grayC-34 #D5D5D5
138 138 138	grayC-104 #8A8A8A
161 161 161	grayC-82 #A1A1A1
 37  37  37	grayC-213 #252525
206 206 206	grayC-40 #CECECE
109 109 109	grayC-134 #6D6D6D
 42  42  42	grayC-207 #2A2A2A
 46  46  46	grayC-203 #2E2E2E
 52  52  52	grayC-196 #343434
193 193 193	grayC-52 #C1C1C1
113 113 113	grayC-130 #717171
 30  30  30	grayC-222 #1E1E1E
221 221 221	grayC-26 #DDDDDD
 39  39  39	grayC-211 #272727
 25  25  25	grayC-229 #191919
184 184 184	grayC-60 #B8B8B8
230 230 230	grayC-18 #E6E6E6
128 128 128	grayC-114 #808080
 59  59  59	grayC-188 #3B3B3B
132 132 132	grayC-110 #848484
148 148 148	grayC-95 #949494
120 120 120	grayC-122 #787878
210 210 210	grayC-36 #D2D2D2
202 202 202	grayC-44 #CACACA
 33  33  33	grayC-218 #212121
 94  94  94	grayC-149 #5E5E5E
172 172 172	grayC-72 #ACACAC
 55  55  55	grayC-192 #373737
239 239 239	grayC-10 #EFEFEF
124 124 124	grayC-118 #7C7C7C
 73  73  73	grayC-172 #494949
156 156 156	grayC-87 #9C9C9C
144 144 144	grayC-99 #909090
 98  98  98	grayC-145 #626262
 18  18  18	grayC-237 #121212
 69  69  69	grayC-176 #454545
235 235 235	grayC-14 #EBEBEB
176 176 176	grayC-68 #B0B0B0
152 152 152	grayC-91 #989898
