Scientific Colour Map Categorical Palette
imola 100 scrambled Swatches
 26  51 179	imola-1 #1A33B3
255 255 102	imola-256 #FFFF66
 84 134 127	imola-129 #54867F
 48  94 157	imola-65 #305E9D
146 196 110	imola-193 #92C46E
 63 113 142	imola-97 #3F718E
113 164 119	imola-161 #71A477
 37  73 168	imola-33 #2549A8
189 230 103	imola-224 #BDE667
 98 148 122	imola-145 #62947A
 43  83 162	imola-49 #2B53A2
 72 123 134	imola-113 #487B86
129 180 115	imola-177 #81B473
 32  62 173	imola-17 #203EAD
 55 104 150	imola-81 #376896
221 244 102	imola-240 #DDF466
163 213 107	imola-208 #A3D56B
121 172 117	imola-169 #79AC75
 29  57 176	imola-9 #1D39B0
 40  78 165	imola-41 #284EA5
238 249 102	imola-248 #EEF966
205 237 102	imola-232 #CDED66
 35  68 170	imola-25 #2344AA
 78 128 130	imola-121 #4E8082
137 188 113	imola-185 #89BC71
 51  99 154	imola-73 #33639A
175 222 105	imola-216 #AFDE69
105 156 121	imola-153 #699C79
 68 118 138	imola-105 #44768A
 59 108 146	imola-89 #3B6C92
 91 141 125	imola-137 #5B8D7D
 45  89 160	imola-57 #2D59A0
155 205 108	imola-201 #9BCD6C
 94 145 123	imola-141 #5E917B
247 252 102	imola-252 #F7FC66
169 217 106	imola-212 #A9D96A
 47  91 158	imola-61 #2F5B9E
117 168 118	imola-165 #75A876
 57 106 148	imola-85 #396A94
230 246 102	imola-244 #E6F666
 33  65 172	imola-21 #2141AC
 44  86 161	imola-53 #2C56A1
141 192 112	imola-189 #8DC070
 31  60 174	imola-13 #1F3CAE
 81 131 128	imola-125 #518380
150 201 109	imola-197 #96C96D
125 176 116	imola-173 #7DB074
 39  76 166	imola-37 #274CA6
 70 120 136	imola-109 #467888
 61 111 144	imola-93 #3D6F90
 75 125 132	imola-117 #4B7D84
102 152 122	imola-149 #66987A
 36  70 169	imola-29 #2446A9
196 234 103	imola-228 #C4EA67
109 160 120	imola-157 #6DA078
 41  81 164	imola-45 #2951A4
 87 138 126	imola-133 #578A7E
213 240 102	imola-236 #D5F066
133 184 114	imola-181 #85B872
 65 115 140	imola-101 #41738C
 50  96 155	imola-69 #32609B
 53 101 152	imola-77 #356598
 28  54 177	imola-5 #1C36B1
181 226 104	imola-220 #B5E268
159 210 107	imola-205 #9FD26B
217 242 102	imola-238 #D9F266
 42  82 163	imola-47 #2A52A3
 86 136 126	imola-131 #56887E
111 162 119	imola-159 #6FA277
200 235 103	imola-230 #C8EB67
119 170 117	imola-167 #77AA75
 62 112 143	imola-95 #3E708F
139 190 112	imola-187 #8BBE70
157 207 108	imola-203 #9DCF6C
 96 146 123	imola-143 #60927B
 33  64 172	imola-19 #2140AC
209 239 102	imola-234 #D1EF66
 30  58 175	imola-11 #1E3AAF
 79 129 129	imola-123 #4F8181
 37  72 168	imola-31 #2548A8
 60 110 145	imola-91 #3C6E91
166 215 106	imola-210 #A6D76A
 47  93 158	imola-63 #2F5D9E
185 228 104	imola-222 #B9E468
127 178 115	imola-175 #7FB273
 58 107 147	imola-87 #3A6B93
 46  90 159	imola-59 #2E5A9F
 49  95 156	imola-67 #315F9C
144 194 111	imola-191 #90C26F
 28  55 176	imola-7 #1C37B0
123 174 116	imola-171 #7BAE74
100 150 122	imola-147 #64967A
135 186 113	imola-183 #87BA71
251 254 102	imola-254 #FBFE66
 64 114 141	imola-99 #40728D
 45  87 160	imola-55 #2D57A0
192 232 103	imola-226 #C0E867
148 199 110	imola-195 #94C76E
 69 119 137	imola-107 #457789
 34  66 171	imola-23 #2242AB
