Scientific Colour Map Categorical Palette
nuuk 100 scrambled Swatches
  5  89 140	nuuk-1 #05598C
254 254 178	nuuk-256 #FEFEB2
161 166 152	nuuk-129 #A1A698
 83 119 133	nuuk-65 #537785
195 195 133	nuuk-193 #C3C385
125 143 145	nuuk-97 #7D8F91
 45 100 131	nuuk-33 #2D6483
181 181 145	nuuk-161 #B5B591
221 221 139	nuuk-225 #DDDD8B
145 155 150	nuuk-113 #919B96
188 188 139	nuuk-177 #BCBC8B
104 131 139	nuuk-81 #68838B
205 205 131	nuuk-209 #CDCD83
 63 108 130	nuuk-49 #3F6C82
 28  94 135	nuuk-17 #1C5E87
173 174 149	nuuk-145 #ADAE95
238 238 156	nuuk-240 #EEEE9C
 94 125 136	nuuk-73 #5E7D88
 37  97 133	nuuk-25 #256185
192 191 136	nuuk-185 #C0BF88
200 199 131	nuuk-201 #C8C783
246 246 167	nuuk-248 #F6F6A7
115 137 142	nuuk-89 #73898E
185 185 142	nuuk-169 #B9B98E
153 160 151	nuuk-121 #99A097
135 149 148	nuuk-105 #879594
177 178 147	nuuk-153 #B1B293
212 212 134	nuuk-217 #D4D486
 19  92 137	nuuk-9 #135C89
 54 104 130	nuuk-41 #366882
 73 113 131	nuuk-57 #497183
167 170 151	nuuk-137 #A7AA97
230 230 147	nuuk-233 #E6E693
186 186 140	nuuk-173 #BABA8C
225 225 143	nuuk-229 #E1E18F
179 180 146	nuuk-157 #B3B492
157 163 152	nuuk-125 #9DA398
110 134 140	nuuk-85 #6E868C
175 176 148	nuuk-149 #AFB094
 99 128 137	nuuk-77 #638089
120 140 144	nuuk-93 #788C90
 88 122 134	nuuk-69 #587A86
149 158 151	nuuk-117 #959E97
164 168 151	nuuk-133 #A4A897
242 242 161	nuuk-244 #F2F2A1
 41  98 132	nuuk-29 #296284
 78 116 132	nuuk-61 #4E7484
183 183 143	nuuk-165 #B7B78F
140 152 149	nuuk-109 #8C9895
 50 102 130	nuuk-37 #326682
193 193 134	nuuk-189 #C1C186
216 216 136	nuuk-221 #D8D888
 13  91 139	nuuk-5 #0D5B8B
130 146 147	nuuk-101 #829293
 24  93 136	nuuk-13 #185D88
197 197 132	nuuk-197 #C5C584
190 189 137	nuuk-181 #BEBD89
209 208 132	nuuk-213 #D1D084
 59 106 130	nuuk-45 #3B6A82
170 172 150	nuuk-141 #AAAC96
 68 111 130	nuuk-53 #446F82
202 202 131	nuuk-205 #CACA83
 33  95 134	nuuk-21 #215F86
250 250 173	nuuk-252 #FAFAAD
235 234 152	nuuk-237 #EBEA98
 52 103 130	nuuk-39 #346782
123 142 145	nuuk-95 #7B8E91
194 194 134	nuuk-191 #C2C286
189 189 138	nuuk-179 #BDBD8A
187 187 139	nuuk-175 #BBBB8B
  9  90 140	nuuk-3 #095A8C
128 145 146	nuuk-99 #809192
228 227 145	nuuk-231 #E4E391
102 129 138	nuuk-79 #66818A
176 177 148	nuuk-151 #B0B194
 91 123 135	nuuk-71 #5B7B87
 43  99 131	nuuk-31 #2B6383
138 151 149	nuuk-107 #8A9795
207 207 132	nuuk-211 #CFCF84
252 252 175	nuuk-254 #FCFCAF
214 214 135	nuuk-219 #D6D687
 31  95 134	nuuk-19 #1F5F86
112 135 141	nuuk-87 #70878D
 75 115 131	nuuk-59 #4B7383
107 132 140	nuuk-83 #6B848C
248 248 170	nuuk-250 #F8F8AA
171 173 150	nuuk-143 #ABAD96
192 192 135	nuuk-187 #C0C087
204 203 131	nuuk-207 #CCCB83
 56 105 130	nuuk-43 #386982
223 223 141	nuuk-227 #DFDF8D
 35  96 133	nuuk-23 #236085
186 185 141	nuuk-171 #BAB98D
184 184 142	nuuk-167 #B8B88E
182 182 144	nuuk-163 #B6B690
 47 101 131	nuuk-35 #2F6583
151 159 151	nuuk-119 #979F97
159 164 152	nuuk-127 #9FA498
162 167 152	nuuk-131 #A2A798
210 210 133	nuuk-215 #D2D285
